Наименование исследование.,Наименование тест.,БМ,Единицы измерения,Референсные значения НИЖНИЙ предел,Референсные значения ВЕРХНИЙ предел,Референсные группы,Критическое значение ниже нормы,Критическое значение выше нормы,"Метод исследования 
(указывается при необходимости)
",Раздел,Подраздел,Синонимы русский,Синонимы английский
,,,ммоль/л,4.56,6.38,60 - 90 лет,,,,,,,
Гликозилированный гемоглобин (HBA1c),Гликозилированный гемоглобин (HBA1c),Кровь ЭДТА,%,4.8,5.9,,–,>10,,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Обмен углеводов,"Гликированный гемоглобин, A1c, HbA1c","Glycated Hemoglobin, A1C, Hemoglobin A1c"
Фруктозамин,Фруктозамин,Сыв-ка крови,мкмоль/л,118,282,муж.,,,Колориметрический тест.,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Обмен углеводов,"Гликозилированный белок, сывороточный фруктозамин","Fructosamine, Glycated Albumin"
,,,,161,351,жен.,,,,,,,
"Глюкозотолерантный тест сокращенный (глюкоза натощак, глюкоза через 2 часа после нагрузки)",Глюкоза (натощак),Плазма с фторидом натрия,ммоль/л,2.22,3.33,"Новорожденные (1 день)
",,,Ферментативный референсный метод с гексокиназой. ,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Обмен углеводов,"ГТТ (2-часовая проба), тест на толерантность к глюкозе","Oral Glucose Tolerance Test (OGTT), 2-hour GTT"
,,,ммоль/л,2.78,4.44,1 день - 1 месяц,,,,,,,
,,,ммоль/л,3.33,5.55,1 месяц - 18 лет,,,,,,,
,,,ммоль/л,4.11,5.89,18-60 лет,,,,,,,
,,,ммоль/л,4.56,6.38,60 - 90 лет,,,,,,,
,Глюкоза (через 2 ч),Плазма с фторидом натрия,ммоль/л,0,"7,8",,,,Ферментативный референсный метод с гексокиназой. ,,,,
"Глюкозотолерантный тест базовый (глюкоза натощак, глюкоза через 1 час и через 2 часа после нагрузки)",Глюкоза (натощак),Плазма с фторидом натрия,ммоль/л,2.22,3.33,"Новорожденные (1 день)
",,,Ферментативный референсный метод с гексокиназой. ,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Обмен углеводов,"ГТТ (1 и 2 часа), стандартный тест на толерантность к глюкозе","Standard OGTT, 1-hour & 2-hour GTT"
,,,ммоль/л,2.78,4.44,1 день - 1 месяц,,,,,,,
,,,ммоль/л,3.33,5.55,1 месяц - 18 лет,,,,,,,
,,,ммоль/л,4.11,5.89,18-60 лет,,,,,,,
,,,ммоль/л,4.56,6.38,60 - 90 лет,,,,,,,
,Глюкоза (через 1 ч),,ммоль/л,0,10,,,,Ферментативный референсный метод с гексокиназой. ,,,,
,Глюкоза (через 2 ч),,ммоль/л,0,8.5,,,,Ферментативный референсный метод с гексокиназой. ,,,,
"Глюкозотолерантный тест расширенный (глюкоза, инсулин, С-пептид натощак и через 2 часа после нагрузки)",Глюкоза (натощак),"Сыв-ка крови, плазма с фторидом натрия",ммоль/л,2.22,3.33,"Новорожденные (1 день)
",,,Ферментативный референсный метод с гексокиназой. ,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Обмен углеводов,"ГТТ с инсулином и С-пептидом, расширенная проба на толерантность",Extended OGTT with Insulin & C-peptide
,,,ммоль/л,2.78,4.44,1 день - 1 месяц,,,,,,,
,,,ммоль/л,3.33,5.55,1 месяц - 18 лет,,,,,,,
,,,ммоль/л,4.11,5.89,18-60 лет,,,,,,,
,,,ммоль/л,4.56,6.38,60 - 90 лет,,,,,,,
,Глюкоза (через 2 ч),,ммоль/л,0,7.8,,,,,,,,
,Инсулин (натощак),,мкЕд/мл,2.7,10.4,,,,Хемилюминесцентный анализ,,,,
,Инсулин (через 2 ч),,мкЕд/мл,0,79.6,,,,Хемилюминесцентный анализ,,,,
,С-пептид (натощак),,пмоль/л,260,1730,,,,Хемилюминесцентный иммуноанализ,,,,
,С-пептид (через 2 ч),,пмоль/л,261,1731,,,,Хемилюминесцентный иммуноанализ,,,,
Индекс HOMA,Глюкоза (натощак),,ммоль/л,2.22,3.33,"Новорожденные (1 день)
",,,Ферментативный референсный метод с гексокиназой. ,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Обмен углеводов,"Индекс инсулинорезистентности, HOMA-IR",Homeostatic Model Assessment (HOMA-IR)
,,,ммоль/л,2.78,4.44,1 день - 1 месяц,,,,,,,
,,,ммоль/л,3.33,5.55,1 месяц - 18 лет,,,,,,,
,,,ммоль/л,4.11,5.89,18-60 лет,,,,,,,
,,,ммоль/л,4.56,6.38,60 - 90 лет,,,,,,,
,Инсулин (натощак),,мкЕд/мл,2.7,10.4,,,,Хемилюминесцентный анализ,,,,
,HOMA-IR        ,,условные единицы,0,2.7,взрослые,,,расчетный,,,,
Лактат (молочная кислота),Лактат (молочная кислота),Плазма с фторидом натрия,ммоль/л,0.5,2.2,18-150 лет,,,Колориметрический тест. ,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Обмен углеводов,"Молочная кислота, лактат крови","Lactate, Lactic Acid, Blood Lactate"
Холестерин общий,Холестерин общий,Сыв-ка крови,ммоль/л,1.29,3.38,0-14 дней жен.,,,Кинетический ферментативный метод. ,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Обмен липидов,"Общий холестерол, TC","Total Cholesterol, TC, Serum Cholesterol"
,,,,1.19,2.96,0-14 дней муж.,,,,,,,
,,,,1.76,6.37,15 дней - 1 год,,,,,,,
,,,,3.04,5.62,1 - 19 лет,,,,,,,
,,,,0,5.2,20-90,,,,,,,
Триглицериды,Триглицериды,Сыв-ка крови,ммоль/л,1.02,3.25,0-14 дней,,,Ферментативный колориметрический метод. ,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Обмен липидов,"ТГ, нейтральные жиры","Triglycerides, TG, Neutral Fats"
,,,,0.65,3.24,15 дней - 1 год,,,,,,,
,,,,0.54,2.47,1 - 19 лет,,,,,,,
,,,,0,1.7,20-90,,,,,,,
"Липопротеины высокой плотности (ЛПВП, HDL)","Липопротеины высокой плотности (ЛПВП, HDL)",Сыв-ка крови,ммоль/л,0.18,1.01,0-14 дней,,,Ферментативный колориметрический метод.,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Обмен липидов,"Липопротеины высокой плотности, ""хороший"" холестерин","High-Density Lipoprotein, HDL-C"
,,,,0.08,1.95,15 дней - 1 год,,,,,,,
,,,,0.72,1.68,1-4 года,,,,,,,
,,,,0.81,1.99,4-13 лет,,,,,,,
,,,,0.7,1.96,13-19 лет жен.,,,,,,,
,,,,0.69,1.85,13-19 лет муж.,,,,,,,
,,,,>1.68,,20-90 лет жен.,,,,,,,
,,,,>1.45,,20-90 лет муж.,,,,,,,
"Липопротеины низкой плотности (ЛПНП, LDL) - прямое определение","Липопротеины низкой плотности (ЛПНП, LDL) - прямое определение",Сыв-ка крови,ммоль/л,0,2.59,18-90 лет,,,Гомогенный ферментативный колориметрический анализ. ,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Обмен липидов,"Липопротеины низкой плотности, ""плохой"" холестерин","Low-Density Lipoprotein, LDL-C (Direct)"
"Липопротеин (a), Lp(a)","Липопротеин (a), Lp(a)",Сыв-ка крови,мг/дл,0,50,18-90,,,Иммунотурбидиметрический тест с латексным усилением. ,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Обмен липидов,"Лп(а), липопротеин ""а""","Lipoprotein (a), Lp(a)"
Аполипопротеин А0,Аполипопротеин А1,Сыв-ка крови,г/л,0.61,1.64,0 - 12 месяцев муж.,,,Имунотурбодиметрический метод,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Обмен липидов,"АпоА1, Apo A1","Apolipoprotein A1, ApoA1"
,,,,0.59,1.69,0 - 12 месяцев жен.,,,,,,,
,,,,0.93,1.72,1-12 лет муж.,,,,,,,
,,,,0.86,1.79,1-12 лет жен.,,,,,,,
,,,,0.95,1.86,13-60 лет муж.,,,,,,,
,,,,1.01,2.23,13-60 лет жен.,,,,,,,
,,,,0.73,1.86,61-90 лет муж.,,,,,,,
,,,,0.91,2.24,61-90 лет жен.,,,,,,,
Аполипопротеин В,Аполипопротеин В,Сыв-ка крови,г/л,0.16,1.24,0 - 12 месяцев муж.,,,Имунотурбодиметрический метод,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Обмен липидов,"АпоВ, Apo B","Apolipoprotein B, ApoB"
,,,,0.17,1.20,0 - 12 месяцев жен.,,,,,,,
,,,,0.48,1.25,1-12 лет муж.,,,,,,,
,,,,0.51,1.26,1-12 лет жен.,,,,,,,
,,,,0.49,1.73,13-60 лет муж.,,,,,,,
,,,,0.53,1.82,13-60 лет жен.,,,,,,,
,,,,0.54,1.63,61-90 лет муж.,,,,,,,
,,,,0.64,1.82,61-90 лет жен.,,,,,,,
Калий (К+),Калий (К+),Сыв-ка крови,мэкв/л,3.2,4.6,Недоношенные,,,"Ион селективный электрод, не прямой метод и ферментативный колориметрический тест. .",БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Электролиты и микроэлементы,"Калий сывороточный, ионы калия","Potassium, Serum K+, K"
,,,,3.6,6.1,1 день - 4 недели,,,,,,,
,,,,3.6,5.8,2-12 месяцев,,,,,,,
,,,,3.1,5.1,1 -18 лет,,,,,,,
,,,,3.3,5.1,19-60 лет,,,,,,,
,,,,3.7,5.4,60-90 лет,,,,,,,
Натрий (Na+),Натрий (Na+),Сыв-ка крови,мэкв/л,128,147,Недоношенные,,,"Ион селективный электрод, не прямой метод и ферментативный колориметрический тест.",БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Электролиты и микроэлементы,"Натрий сывороточный, ионы натрия","Sodium, Serum Na+, Na"
,,,,132,147,1 день - 4 недели,,,,,,,
,,,,129,143,2-12 месяцев,,,,,,,
,,,,132,145,1 -18 лет,,,,,,,
,,,,133,145,19-60 лет,,,,,,,
,,,,132,146,60-90 лет,,,,,,,
Хлор (Cl-),Хлор (Cl-),Сыв-ка крови,мэкв/л,97,122,Недоношенные,,,"Ион селективный электрод, не прямой метод и ферментативный колориметрический тест.",БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Электролиты и микроэлементы,"Хлориды, ионы хлора","Chloride, Cl, Serum Chloride"
,,,,95,116,1 день - 4 недели,,,,,,,
,,,,93,112,2-12 месяцев,,,,,,,
,,,,96,111,1 -18 лет,,,,,,,
,,,,96,108,19-60 лет,,,,,,,
,,,,94,110,60-90 лет,,,,,,,
Кальций ионизированный (Ca++),Кальций ионизированный (Ca++),Сыв-ка крови,ммоль/л,1.17,1.29,18-90 лет,<0.75,>1.63,Ионселективные электроды,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Электролиты и микроэлементы,"Свободный кальций, активный кальций","Ionized Calcium, Free Calcium, Ca²⁺"
Кальций общий,Кальций общий,Сыв-ка крови,ммоль/л,1.9,2.6,0-10 дней,,,Колориметрический тест.,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Электролиты и микроэлементы,"Общий кальций сыворотки, Ca","Total Calcium, Serum Calcium, Ca"
,,,,2.25,2.75,11 дней - 2 года,,,,,,,
,,,,2.2,2.7,3-12 лет,,,,,,,
,,,,2.1,2.55,13-18 лет,,,,,,,
,,,,2.15,2.5,19-60 лет,,,,,,,
,,,,2.2,2.55,61-90 лет,,,,,,,
,,,,2.05,2.4,91-150 лет,,,,,,,
Фосфор,Фосфор,Сыв-ка крови,ммоль/л,1.25,2.25,1-30 дней муж.,,,УФ-метод с молибдатом.,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Электролиты и микроэлементы,"Фосфаты, неорганический фосфор","Phosphorus, Phosphate, Inorganic Phosphate"
,,,,1.40,2.50,1-30 дней жен.,,,,,,,
,,,,1.15,2.15,1-12 мес. муж.,,,,,,,
,,,,1.20,2.10,1-12 мес. жен.,,,,,,,
,,,,1.00,1.95,1-3 года муж.,,,,,,,
,,,,1.10,1.95,1-3 года жен.,,,,,,,
,,,,01.05,1.80,4-6 лет,,,,,,,
,,,,0.95,1.75,7-9 лет муж.,,,,,,,
,,,,1.00,1.80,7-9 лет жен.,,,,,,,
,,,,01.05,1.85,10-12 лет муж.,,,,,,,
,,,,01.05,1.70,10-12 лет жен.,,,,,,,
,,,,0.95,1.65,13-15 лет муж.,,,,,,,
,,,,0.90,1.55,13-15 лет жен.,,,,,,,
,,,,0.85,1.60,16-18 лет муж.,,,,,,,
,,,,0.80,1.55,16-18 лет жен.,,,,,,,
,,,,0.81,1.45,19-150 лет,,,,,,,
Магний ионизированный (Mg++),Магний ионизированный (Mg++),Сыв-ка крови,ммоль/л,0.45,0.6,,,,ионселективные эллектроды,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Электролиты и микроэлементы,"Свободный магний, активный магний","Ionized Magnesium, Free Magnesium, Mg²⁺"
Магний,Магний,Сыв-ка крови,ммоль/л,0.62,0.91,Новорожденные,,,"Метод колориметрического определения по конечной точке.",БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Электролиты и микроэлементы,"Магний сывороточный, Mg","Magnesium, Serum Magnesium, Mg"
,,,,0.70,0.95,5 месяцев – 6 лет,,,,,,,
,,,,0.70,0.86,7–12 лет,,,,,,,
,,,,0.70,0.91,13–20 лет,,,,,,,
,,,,0.66,1.07,21-60 лет,,,,,,,
,,,,0.66,0.99,61–90 лет,,,,,,,
,,,,0.70,0.95,91-150 лет,,,,,,,
Железо сывороточное,Железо сывороточное,Сыв-ка крови,мкмоль/л,6.4,33,Новорожденные,<2,>34,Метод с феррозином,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Обмен железа,"Fe, железо в сыворотке","Iron, Serum Iron, Fe"
,,,,6.4,28,0 дней - 6 месяцев,,,,,,,
,,,,7.7,33,7 месяцев - 18 лет,,,,,,,
,,,,6.6,26,18-150 лет жен.,,,,,,,
,,,,11,28,18-150 лет муж.,,,,,,,
Железосвязывающая способность сыворотки (ОЖСС),Сывороточное железо,Сыв-ка крови,мкмоль/л,6.4,33,Новорожденные,,,Метод с феррозином,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Обмен железа,Общая железосвязывающая способность сыворотки,Total Iron-Binding Capacity (TIBC)
